zip,year_built,sqft,stories,beds,baths,garage,lastSoldPrice,type_condo,type_coop,type_farm,type_land,type_mobile,type_multi_family,type_other,type_single_family,type_townhomes
98118.0,1967.0,2460.0,2.0,3.0,3.0,0.0,1365054.0,False,False,False,False,False,False,False,True,False
98528.0,1983.0,1580.0,1.0,3.0,2.0,0.0,450066.0,False,False,False,False,False,False,False,True,False
98164.0,2008.0,1240.0,1.0,1.0,2.0,0.0,639937.0,True,False,False,False,False,False,False,False,False
98387.0,2022.0,2930.0,2.0,5.0,3.0,0.0,639928.0,False,False,False,False,False,False,False,True,False
98370.0,1996.0,1860.0,3.0,3.0,3.0,0.0,656925.0,False,False,False,False,False,False,False,True,False
98274.0,1996.0,2700.0,1.0,5.0,3.0,0.0,704914.0,False,False,False,False,False,False,False,True,False
98121.0,1980.0,820.0,1.0,1.0,1.0,0.0,393072.0,True,False,False,False,False,False,False,False,False
98407.0,1990.0,2130.0,1.0,3.0,2.0,0.0,964943.0,False,False,False,False,False,False,False,True,False
98335.0,1979.0,1860.0,3.0,3.0,3.0,0.0,782827.0,False,False,False,False,False,False,False,True,False
98362.0,1940.0,1540.0,2.0,4.0,2.0,0.0,361052.0,False,False,False,False,False,False,False,True,False
98092.0,2004.0,1730.0,2.0,2.0,3.0,0.0,476907.0,False,False,False,False,False,False,False,False,True
98564.0,1945.0,860.0,1.0,3.0,1.0,0.0,314989.0,False,False,False,False,False,False,False,True,False
98407.0,1928.0,2290.0,2.0,3.0,2.0,0.0,989939.0,False,False,False,False,False,False,False,True,False
98112.0,1931.0,3150.0,2.0,3.0,3.0,0.0,2649937.0,False,False,False,False,False,False,False,True,False
98052.0,2025.0,4650.0,2.0,6.0,5.0,0.0,2700051.0,False,False,False,False,False,False,False,True,False
98072.0,1991.0,1500.0,1.0,3.0,2.0,0.0,999932.0,False,False,False,False,False,False,False,True,False
98597.0,2003.0,1800.0,2.0,4.0,3.0,0.0,499949.0,False,False,False,False,False,False,False,True,False
98199.0,2007.0,800.0,1.0,2.0,1.0,0.0,444903.0,True,False,False,False,False,False,False,False,False
98026.0,1979.0,2420.0,2.0,4.0,3.0,0.0,1149944.0,False,False,False,False,False,False,False,True,False
98027.0,1971.0,1920.0,1.0,3.0,2.0,0.0,940083.0,False,False,False,False,False,False,False,True,False
98108.0,2006.0,1800.0,2.0,4.0,3.0,0.0,809921.0,False,False,False,False,False,False,False,False,True
98074.0,1992.0,2590.0,2.0,5.0,3.0,0.0,1619938.0,False,False,False,False,False,False,False,True,False
98382.0,1986.0,2210.0,3.0,3.0,3.0,0.0,541909.0,False,False,False,False,False,False,False,True,False
98229.0,1992.0,1140.0,1.0,3.0,2.0,0.0,498945.0,False,False,False,False,False,False,False,True,False
98258.0,2002.0,3490.0,2.0,5.0,4.0,0.0,1399905.0,False,False,False,False,False,False,False,True,False
98391.0,1985.0,3130.0,1.0,4.0,3.0,0.0,1495087.0,False,False,False,False,False,False,False,True,False
98502.0,1980.0,1340.0,1.0,2.0,2.0,0.0,349918.0,True,False,False,False,False,False,False,False,False
98121.0,2017.0,770.0,1.0,1.0,1.0,0.0,624906.0,True,False,False,False,False,False,False,False,False
98335.0,1989.0,2610.0,1.0,3.0,3.0,0.0,1764930.0,False,False,False,False,False,False,False,True,False
98258.0,2018.0,3230.0,2.0,5.0,3.0,0.0,1194936.0,False,False,False,False,False,False,False,True,False
98640.0,1996.0,1900.0,1.0,3.0,3.0,0.0,706557.0,False,False,False,False,False,False,False,True,False
98023.0,1976.0,1840.0,2.0,4.0,2.0,0.0,554903.0,False,False,False,False,False,False,False,True,False
98272.0,2015.0,4280.0,1.0,5.0,4.0,0.0,917070.0,False,False,False,False,True,False,False,False,False
98683.0,1994.0,2420.0,2.0,5.0,2.0,3.0,871292.0,False,False,False,False,False,False,False,True,False
99337.0,1998.0,1690.0,1.0,3.0,2.0,3.0,422566.0,False,False,False,False,False,False,False,True,False
98368.0,1994.0,1450.0,1.0,2.0,2.0,0.0,539902.0,False,False,False,False,False,False,False,True,False
98332.0,1979.0,1930.0,3.0,3.0,3.0,0.0,774906.0,False,False,False,False,False,False,False,True,False
98903.0,2024.0,1800.0,1.0,3.0,4.0,2.0,626935.0,False,False,False,False,False,False,False,True,False
98058.0,1964.0,2530.0,2.0,4.0,3.0,0.0,864926.0,False,False,False,False,False,False,False,True,False
98445.0,1995.0,1680.0,1.0,3.0,2.0,0.0,510090.0,False,False,False,False,False,False,False,True,False
99354.0,1977.0,1950.0,1.0,3.0,2.0,3.0,464939.0,False,False,False,False,False,False,False,True,False
98368.0,1995.0,1300.0,1.0,2.0,2.0,0.0,589064.0,False,False,False,False,False,False,False,True,False
98092.0,2014.0,2090.0,2.0,3.0,3.0,0.0,679920.0,False,False,False,False,False,False,False,True,False
98005.0,1967.0,2630.0,2.0,4.0,3.0,0.0,2000056.0,False,False,False,False,False,False,False,True,False
99354.0,2007.0,2160.0,1.0,3.0,2.0,2.0,536433.0,False,False,False,False,False,False,False,True,False
99016.0,2014.0,1090.0,1.0,2.0,2.0,2.0,406096.0,False,False,False,False,False,False,False,True,False
98513.0,2025.0,3290.0,1.0,4.0,3.0,0.0,1250053.0,False,False,False,False,False,False,False,True,False
98569.0,2017.0,1500.0,1.0,3.0,2.0,0.0,524848.0,False,False,False,False,False,False,False,True,False
98597.0,2000.0,1620.0,1.0,3.0,2.0,0.0,464929.0,False,False,False,False,False,False,False,True,False
98501.0,2025.0,2250.0,1.0,3.0,3.0,0.0,654950.0,False,False,False,False,False,False,False,True,False
99205.0,1951.0,2030.0,1.0,3.0,2.0,2.0,312449.0,False,False,False,False,False,False,False,True,False
98188.0,1975.0,1540.0,2.0,4.0,3.0,0.0,614941.0,False,False,False,False,False,False,False,True,False
98033.0,2026.0,1310.0,2.0,2.0,3.0,0.0,986945.0,False,False,False,False,False,False,False,True,False
98406.0,1946.0,2180.0,2.0,4.0,2.0,0.0,552091.0,False,False,False,False,False,False,False,True,False
98383.0,1991.0,1660.0,2.0,3.0,3.0,0.0,524944.0,False,False,False,False,False,False,False,True,False
98033.0,1980.0,2400.0,2.0,3.0,3.0,0.0,1244924.0,False,False,False,False,False,False,False,True,False
99205.0,1960.0,2470.0,2.0,3.0,3.0,2.0,412085.0,False,False,False,False,False,False,False,True,False
98375.0,2005.0,1860.0,2.0,3.0,3.0,0.0,480081.0,False,False,False,False,False,False,False,True,False
98010.0,2026.0,2210.0,1.0,3.0,3.0,0.0,1229038.0,False,False,False,False,False,False,False,True,False
98055.0,2025.0,2740.0,2.0,4.0,3.0,0.0,1039868.0,False,False,False,False,False,False,False,True,False
98387.0,2004.0,2230.0,2.0,4.0,3.0,0.0,557905.0,False,False,False,False,False,False,False,True,False
98264.0,1998.0,1990.0,1.0,3.0,2.0,0.0,672553.0,False,False,False,False,False,False,False,True,False
98121.0,2015.0,940.0,2.0,2.0,2.0,0.0,656945.0,True,False,False,False,False,False,False,False,False
98208.0,2000.0,2000.0,2.0,4.0,3.0,0.0,930093.0,False,False,False,False,False,False,False,True,False
98226.0,2006.0,960.0,1.0,1.0,1.0,0.0,327447.0,True,False,False,False,False,False,False,False,False
98926.0,1910.0,1270.0,2.0,2.0,2.0,0.0,405059.0,False,False,False,False,False,False,False,True,False
99301.0,2004.0,1980.0,2.0,3.0,3.0,2.0,423942.0,False,False,False,False,False,False,False,True,False
99207.0,1907.0,1510.0,2.0,3.0,1.0,1.0,250051.0,False,False,False,False,False,False,False,True,False
98144.0,2026.0,1040.0,2.0,3.0,3.0,0.0,824945.0,True,False,False,False,False,False,False,False,False
98038.0,1991.0,1800.0,2.0,3.0,3.0,0.0,721079.0,False,False,False,False,False,False,False,True,False
98250.0,2017.0,3010.0,1.0,4.0,3.0,0.0,2816629.0,False,False,False,False,False,False,False,True,False
99352.0,1944.0,1400.0,1.0,3.0,1.0,0.0,319846.0,False,False,False,False,False,False,False,True,False
99301.0,1940.0,1670.0,1.0,3.0,1.0,0.0,281902.0,False,False,False,False,False,False,False,True,False
98115.0,1938.0,2240.0,1.0,4.0,2.0,0.0,1100054.0,False,False,False,False,False,False,False,True,False
98028.0,2025.0,2910.0,3.0,4.0,4.0,0.0,1525905.0,False,False,False,False,False,False,False,True,False
99163.0,2004.0,1660.0,2.0,4.0,2.0,2.0,445090.0,False,False,False,False,False,False,False,True,False
98801.0,1980.0,1030.0,1.0,3.0,2.0,0.0,442076.0,False,False,False,False,False,False,False,True,False
98444.0,1978.0,1650.0,2.0,3.0,2.0,0.0,484925.0,False,False,False,False,False,False,False,True,False
98391.0,2022.0,1550.0,2.0,3.0,3.0,0.0,544945.0,False,False,False,False,False,False,False,True,False
98022.0,1993.0,1080.0,1.0,3.0,1.0,0.0,524938.0,False,False,False,False,False,False,False,True,False
98136.0,1949.0,2120.0,2.0,2.0,2.0,0.0,654907.0,False,False,False,False,False,False,False,True,False
98604.0,1977.0,2250.0,2.0,3.0,3.0,2.0,635067.0,False,False,False,False,False,False,False,True,False
98155.0,1950.0,3940.0,1.0,3.0,2.0,0.0,850051.0,False,False,False,False,False,False,False,True,False
98311.0,2022.0,1490.0,3.0,4.0,3.0,0.0,489913.0,False,False,False,False,False,False,False,True,False
98392.0,2004.0,1720.0,3.0,2.0,3.0,0.0,449916.0,False,False,False,False,False,False,False,True,False
98405.0,1903.0,1580.0,2.0,4.0,2.0,0.0,549947.0,False,False,False,False,False,False,False,True,False
99207.0,1947.0,1120.0,1.0,2.0,1.0,0.0,230052.0,False,False,False,False,False,False,False,True,False
98117.0,1989.0,600.0,1.0,1.0,1.0,0.0,365055.0,True,False,False,False,False,False,False,False,False
98642.0,2025.0,3180.0,2.0,5.0,4.0,2.0,794948.0,False,False,False,False,False,False,False,True,False
98226.0,1998.0,1200.0,1.0,2.0,2.0,0.0,589919.0,False,False,False,False,False,False,False,True,False
99117.0,1956.0,1870.0,1.0,2.0,1.0,0.0,114944.0,False,False,False,False,False,False,False,True,False
98902.0,1950.0,920.0,1.0,2.0,1.0,1.0,313420.0,False,False,False,False,False,False,False,True,False
98028.0,2024.0,960.0,1.0,1.0,1.0,0.0,449942.0,True,False,False,False,False,False,False,False,False
98103.0,1958.0,400.0,1.0,1.0,1.0,0.0,299896.0,True,False,False,False,False,False,False,False,False
98632.0,1936.0,1360.0,1.0,2.0,2.0,0.0,358913.0,False,False,False,False,False,False,False,True,False
98229.0,1926.0,730.0,1.0,2.0,1.0,0.0,448931.0,False,False,False,False,False,False,False,True,False
98385.0,1994.0,1260.0,2.0,3.0,3.0,0.0,436929.0,False,False,False,False,False,False,False,True,False
98903.0,2025.0,1800.0,1.0,3.0,2.0,3.0,500043.0,False,False,False,False,False,False,False,True,False
98597.0,2026.0,1430.0,1.0,3.0,2.0,0.0,530952.0,False,False,False,False,False,False,False,True,False
98271.0,1938.0,3760.0,2.0,3.0,3.0,0.0,1424923.0,False,False,False,False,False,False,False,True,False
98110.0,1978.0,1210.0,1.0,3.0,2.0,0.0,450051.0,True,False,False,False,False,False,False,False,False
98362.0,1930.0,1060.0,2.0,3.0,1.0,0.0,339918.0,False,False,False,False,False,False,False,True,False
99206.0,1979.0,3190.0,2.0,4.0,4.0,2.0,553569.0,False,False,False,False,False,False,False,True,False
99338.0,2026.0,3030.0,1.0,4.0,4.0,3.0,1199943.0,False,False,False,False,False,False,False,True,False
98329.0,1977.0,1780.0,3.0,3.0,2.0,0.0,361077.0,False,False,False,False,False,False,False,True,False
98408.0,1948.0,1100.0,1.0,3.0,1.0,0.0,355078.0,False,False,False,False,False,False,False,True,False
